Source Well,Dest Well,Volume,Compound
A01,,150,JUMP1_rep1
A02,A13,150,DMSO
A03,N08,150,Cpd1_dose1
A04,H04,150,Cpd1_dose3
A05,I22,150,Cpd2_dose1
A06,H08,150,Cpd2_dose3
A07,J06,150,Cpd3_dose1
A08,N20,150,Cpd3_dose3
A09,C24,150,Cpd4_dose1
A10,L21,150,Cpd4_dose3
A11,J23,150,Cpd5_dose1
A12,O19,150,Cpd5_dose3
A13,J03,150,Cpd1_dose2
A14,E06,150,Cpd1_dose4
A15,O13,150,Cpd2_dose2
A16,C03,150,Cpd2_dose4
A17,M17,150,Cpd3_dose2
A18,B01,150,Cpd3_dose4
A19,O04,150,Cpd4_dose2
A20,J11,150,Cpd4_dose4
A21,H02,150,Cpd5_dose2
A22,G11,150,Cpd5_dose4
A23,,150,JUMP1_rep3
A24,A21,150,DMSO
B01,,150,JUMP1_rep2
B02,B07,150,DMSO
B03,D22,150,Cpd1_dose5
B04,P19,150,Cpd1_dose7
B05,D17,150,Cpd2_dose5
B06,F05,150,Cpd2_dose7
B07,I12,150,Cpd3_dose5
B08,C22,150,Cpd3_dose7
B09,D07,150,Cpd4_dose5
B10,M12,150,Cpd4_dose7
B11,E07,150,Cpd5_dose5
B12,C01,150,Cpd5_dose7
B13,A16,150,Cpd1_dose6
B14,M15,150,Cpd1_dose8
B15,L16,150,Cpd2_dose6
B16,N10,150,Cpd2_dose8
B17,F11,150,Cpd3_dose6
B18,G16,150,Cpd3_dose8
B19,A17,150,Cpd4_dose6
B20,G23,150,Cpd4_dose8
B21,N15,150,Cpd5_dose6
B22,L13,150,Cpd5_dose8
B23,,150,JUMP1_rep4
B24,B19,150,DMSO
C01,,150,JUMP2_rep1
C02,C05,150,DMSO
C03,J08,150,Cpd6_dose1
C04,B23,150,Cpd6_dose3
C05,N16,150,Cpd7_dose1
C06,M20,150,Cpd7_dose3
C07,A08,150,Cpd8_dose1
C08,P12,150,Cpd8_dose3
C09,O24,150,Cpd9_dose1
