plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_4,A01,comp23,4,comp23_4,
plate_4,A02,ctrl8,1,ctrl8_1,
plate_4,A03,comp27,7,comp27_7,
plate_4,A04,comp16,5,comp16_5,
plate_4,A05,comp10,6,comp10_6,
plate_4,A06,ctrl1,1,ctrl1_1,
plate_4,A07,comp9,5,comp9_5,
plate_4,A08,comp8,1,comp8_1,
plate_4,A09,comp11,4,comp11_4,
plate_4,A10,comp20,5,comp20_5,
plate_4,A11,comp12,3,comp12_3,
plate_4,A12,comp31,1,comp31_1,
plate_4,A13,DMSO,0,DMSO_0,
plate_4,A14,comp7,5,comp7_5,
plate_4,A15,comp19,2,comp19_2,
plate_4,A16,comp1,6,comp1_6,
plate_4,A17,comp4,6,comp4_6,
plate_4,A18,comp37,3,comp37_3,
plate_4,A19,comp32,8,comp32_8,
plate_4,A20,comp15,6,comp15_6,
plate_4,A21,DMSO,0,DMSO_0,
plate_4,A22,comp22,6,comp22_6,
plate_4,A23,comp21,4,comp21_4,
plate_4,A24,comp17,6,comp17_6,
plate_4,B01,comp3,4,comp3_4,
plate_4,B02,comp32,7,comp32_7,
plate_4,B03,comp36,3,comp36_3,
plate_4,B04,ctrl5,1,ctrl5_1,
plate_4,B05,comp18,6,comp18_6,
plate_4,B06,comp21,1,comp21_1,
plate_4,B07,DMSO,0,DMSO_0,
plate_4,B08,comp22,5,comp22_5,
plate_4,B09,comp9,2,comp9_2,
plate_4,B10,comp38,6,comp38_6,
plate_4,B11,comp33,4,comp33_4,
plate_4,B12,comp17,4,comp17_4,
plate_4,B13,comp19,5,comp19_5,
plate_4,B14,ctrl7,1,ctrl7_1,
plate_4,B15,comp14,5,comp14_5,
plate_4,B16,comp29,6,comp29_6,
plate_4,B17,comp25,5,comp25_5,
plate_4,B18,comp16,3,comp16_3,
plate_4,B19,DMSO,0,DMSO_0,
plate_4,B20,comp40,8,comp40_8,
plate_4,B21,comp39,4,comp39_4,
plate_4,B22,comp30,2,comp30_2,
plate_4,B23,comp6,3,comp6_3,
plate_4,B24,comp20,3,comp20_3,
plate_4,C01,comp5,7,comp5_7,
plate_4,C02,ctrl6,1,ctrl6_1,
plate_4,C03,comp2,4,comp2_4,
plate_4,C04,comp24,6,comp24_6,
plate_4,C05,DMSO,0,DMSO_0,
plate_4,C06,comp13,7,comp13_7,
plate_4,C07,comp14,3,comp14_3,
plate_4,C08,comp21,6,comp21_6,
plate_4,C09,comp40,6,comp40_6,
plate_4,C10,comp10,2,comp10_2,
plate_4,C11,comp18,3,comp18_3,
plate_4,C12,comp9,4,comp9_4,
plate_4,C13,comp29,1,comp29_1,
plate_4,C14,comp11,2,comp11_2,
plate_4,C15,comp7,8,comp7_8,
plate_4,C16,DMSO,0,DMSO_0,
plate_4,C17,comp27,1,comp27_1,
plate_4,C18,comp12,6,comp12_6,
plate_4,C19,comp19,1,comp19_1,
plate_4,C20,comp22,3,comp22_3,
plate_4,C21,comp6,6,comp6_6,
plate_4,C22,comp3,7,comp3_7,
plate_4,C23,ctrl1,1,ctrl1_1,
plate_4,C24,comp4,1,comp4_1,
plate_4,D01,ctrl4,1,ctrl4_1,
plate_4,D02,comp13,5,comp13_5,
plate_4,D03,comp35,8,comp35_8,
plate_4,D04,comp28,4,comp28_4,
plate_4,D05,comp38,4,comp38_4,
plate_4,D06,comp23,1,comp23_1,
plate_4,D07,comp4,5,comp4_5,
plate_4,D08,comp15,3,comp15_3,
plate_4,D09,comp16,2,comp16_2,
plate_4,D10,DMSO,0,DMSO_0,
plate_4,D11,comp20,2,comp20_2,
plate_4,D12,comp34,1,comp34_1,
plate_4,D13,comp26,4,comp26_4,
plate_4,D14,comp27,6,comp27_6,
plate_4,D15,ctrl8,1,ctrl8_1,
plate_4,D16,comp31,3,comp31_3,
plate_4,D17,comp2,5,comp2_5,
plate_4,D18,comp6,2,comp6_2,
plate_4,D19,comp39,2,comp39_2,
plate_4,D20,comp29,2,comp29_2,
plate_4,D21,comp30,5,comp30_5,
plate_4,D22,comp1,5,comp1_5,
plate_4,D23,comp37,2,comp37_2,
plate_4,D24,DMSO,0,DMSO_0,
plate_4,E01,comp7,4,comp7_4,
plate_4,E02,comp36,1,comp36_1,
plate_4,E03,comp24,5,comp24_5,
plate_4,E04,comp8,7,comp8_7,
plate_4,E05,comp33,1,comp33_1,
plate_4,E06,comp1,4,comp1_4,
plate_4,E07,comp5,5,comp5_5,
plate_4,E08,comp12,1,comp12_1,
plate_4,E09,ctrl6,1,ctrl6_1,
plate_4,E10,comp40,4,comp40_4,
plate_4,E11,ctrl5,1,ctrl5_1,
plate_4,E12,comp25,7,comp25_7,
plate_4,E13,DMSO,0,DMSO_0,
plate_4,E14,comp16,1,comp16_1,
plate_4,E15,comp21,8,comp21_8,
plate_4,E16,comp22,4,comp22_4,
plate_4,E17,comp26,7,comp26_7,
plate_4,E18,comp23,2,comp23_2,
plate_4,E19,DMSO,0,DMSO_0,
plate_4,E20,comp18,8,comp18_8,
plate_4,E21,comp14,7,comp14_7,
plate_4,E22,comp9,6,comp9_6,
plate_4,E23,comp13,3,comp13_3,
plate_4,E24,comp32,4,comp32_4,
plate_4,F01,ctrl2,1,ctrl2_1,
plate_4,F02,comp26,8,comp26_8,
plate_4,F03,comp6,7,comp6_7,
plate_4,F04,DMSO,0,DMSO_0,
plate_4,F05,comp2,7,comp2_7,
plate_4,F06,comp34,4,comp34_4,
plate_4,F07,comp35,4,comp35_4,
plate_4,F08,comp36,7,comp36_7,
plate_4,F09,comp27,3,comp27_3,
plate_4,F10,comp11,6,comp11_6,
plate_4,F11,comp3,6,comp3_6,
