Source Well,Dest Well,Volume,Compound
A01,,150,JUMP1_rep1
A02,,150,DMSO
A03,,150,Cpd1
A04,,150,Cpd2
A05,,150,Cpd3
A06,,150,Cpd4
A07,,150,Cpd5
A08,,150,Cpd6
A09,,150,Cpd7
A10,,150,Cpd8
A11,,150,Cpd9
A12,,150,Cpd10
A13,,150,Cpd11
A14,,150,Cpd12
A15,,150,Cpd13
A16,,150,Cpd14
A17,,150,Cpd15
A18,,150,Cpd16
A19,,150,Cpd17
A20,,150,Cpd18
A21,,150,Cpd19
A22,,150,Cpd20
A23,,150,JUMP1_rep3
A24,,150,DMSO
B01,,150,JUMP1_rep2
B02,,150,DMSO
B03,,150,Cpd21
B04,,150,Cpd22
B05,,150,Cpd23
B06,,150,Cpd24
B07,,150,Cpd25
B08,,150,Cpd26
B09,,150,Cpd27
B10,,150,Cpd28
B11,,150,Cpd29
B12,,150,Cpd30
B13,,150,Cpd31
B14,,150,Cpd32
B15,,150,Cpd33
B16,,150,Cpd34
B17,,150,Cpd35
B18,,150,Cpd36
B19,,150,Cpd37
B20,,150,Cpd38
B21,,150,Cpd39
B22,,150,Cpd40
B23,,150,JUMP1_rep4
B24,,150,DMSO
C01,,150,JUMP2_rep1
C02,,150,DMSO
C03,,150,Cpd41
C04,,150,Cpd42
C05,,150,Cpd43
C06,,150,Cpd44
C07,,150,Cpd45
C08,,150,Cpd46
C09,,150,Cpd47
C10,,150,Cpd48
C11,,150,Cpd49
C12,,150,Cpd50
C13,,150,Cpd51
C14,,150,Cpd52
C15,,150,Cpd53
C16,,150,Cpd54
C17,,150,Cpd55
C18,,150,Cpd56
C19,,150,Cpd57
C20,,150,Cpd58
C21,,150,Cpd59
C22,,150,Cpd60
C23,,150,JUMP2_rep3
C24,,150,DMSO
D01,,150,JUMP2_rep2
D02,,150,DMSO
D03,,150,Cpd61
D04,,150,Cpd62
D05,,150,Cpd63
D06,,150,Cpd64
D07,,150,Cpd65
D08,,150,Cpd66
D09,,150,Cpd67
D10,,150,Cpd68
D11,,150,Cpd69
D12,,150,Cpd70
D13,,150,Cpd71
D14,,150,Cpd72
D15,,150,Cpd73
D16,,150,Cpd74
D17,,150,Cpd75
D18,,150,Cpd76
D19,,150,Cpd77
D20,,150,Cpd78
D21,,150,Cpd79
D22,,150,Cpd80
D23,,150,JUMP2_rep4
D24,,150,DMSO
E01,,150,JUMP3_rep1
E02,,150,DMSO
E03,,150,Cpd81
E04,,150,Cpd82
E05,,150,Cpd83
E06,,150,Cpd84
E07,,150,Cpd85
E08,,150,Cpd86
E09,,150,Cpd87
E10,,150,Cpd88
E11,,150,Cpd89
E12,,150,Cpd90
E13,,150,Cpd91
E14,,150,Cpd92
E15,,150,Cpd93
E16,,150,Cpd94
E17,,150,Cpd95
E18,,150,Cpd96
E19,,150,Cpd97
E20,,150,Cpd98
E21,,150,Cpd99
E22,,150,Cpd100
E23,,150,JUMP3_rep3
E24,,150,DMSO
F01,,150,JUMP3_rep2
F02,,150,DMSO
F03,,150,Cpd101
F04,,150,Cpd102
F05,,150,Cpd103
F06,,150,Cpd104
F07,,150,Cpd105
F08,,150,Cpd106
F09,,150,Cpd107
F10,,150,Cpd108
F11,,150,Cpd109
F12,,150,Cpd110
F13,,150,Cpd111
F14,,150,Cpd112
F15,,150,Cpd113
F16,,150,Cpd114
F17,,150,Cpd115
F18,,150,Cpd116
F19,,150,Cpd117
F20,,150,Cpd118
F21,,150,Cpd119
F22,,150,Cpd120
F23,,150,JUMP3_rep4
F24,,150,DMSO
G01,,150,JUMP4_rep1
G02,,150,DMSO
G03,,150,Cpd121
G04,,150,Cpd122
G05,,150,Cpd123
G06,,150,Cpd124
G07,,150,Cpd125
G08,,150,Cpd126
G09,,150,Cpd127
G10,,150,Cpd128
G11,,150,Cpd129
G12,,150,Cpd130
G13,,150,Cpd131
G14,,150,Cpd132
G15,,150,Cpd133
G16,,150,Cpd134
G17,,150,Cpd135
G18,,150,Cpd136
G19,,150,Cpd137
G20,,150,Cpd138
G21,,150,Cpd139
G22,,150,Cpd140
G23,,150,JUMP4_rep3
G24,,150,DMSO
H01,,150,JUMP4_rep2
H02,,150,DMSO
H03,,150,Cpd141
H04,,150,Cpd142
H05,,150,Cpd143
H06,,150,Cpd144
H07,,150,Cpd145
H08,,150,Cpd146
H09,,150,Cpd147
H10,,150,Cpd148
H11,,150,Cpd149
H12,,150,Cpd150
H13,,150,Cpd151
H14,,150,Cpd152
H15,,150,Cpd153
H16,,150,Cpd154
H17,,150,Cpd155
H18,,150,Cpd156
H19,,150,Cpd157
H20,,150,Cpd158
H21,,150,Cpd159
H22,,150,Cpd160
H23,,150,JUMP4_rep4
H24,,150,DMSO
I01,,150,JUMP5_rep1
I02,,150,DMSO
I03,,150,Cpd161
I04,,150,Cpd162
I05,,150,Cpd163
I06,,150,Cpd164
I07,,150,Cpd165
I08,,150,Cpd166
I09,,150,Cpd167
I10,,150,Cpd168
I11,,150,Cpd169
I12,,150,Cpd170
I13,,150,Cpd171
I14,,150,Cpd172
I15,,150,Cpd173
I16,,150,Cpd174
I17,,150,Cpd175
I18,,150,Cpd176
I19,,150,Cpd177
I20,,150,Cpd178
I21,,150,Cpd179
I22,,150,Cpd180
I23,,150,JUMP5_rep3
I24,,150,DMSO
J01,,150,JUMP5_rep2
J02,,150,DMSO
J03,,150,Cpd181
J04,,150,Cpd182
