plateID,well,cmpdname,CONCuM,cmpdnum,VOLuL
plate_4,A01,comp277,277,comp277_277,
plate_4,A02,comp311,311,comp311_311,
plate_4,A03,ctrl7,1,ctrl7_1,
plate_4,A04,comp184,184,comp184_184,
plate_4,A05,comp194,194,comp194_194,
plate_4,A06,comp253,253,comp253_253,
plate_4,A07,comp231,231,comp231_231,
plate_4,A08,comp209,209,comp209_209,
plate_4,A09,comp244,244,comp244_244,
plate_4,A10,comp188,188,comp188_188,
plate_4,A11,ctrl3,1,ctrl3_1,
plate_4,A12,comp203,203,comp203_203,
plate_4,A13,comp134,134,comp134_134,
plate_4,A14,DMSO,0,DMSO_0,
plate_4,A15,comp94,94,comp94_94,
plate_4,A16,comp156,156,comp156_156,
plate_4,A17,comp56,56,comp56_56,
plate_4,A18,comp233,233,comp233_233,
plate_4,A19,comp7,7,comp7_7,
plate_4,A20,comp227,227,comp227_227,
plate_4,A21,comp33,33,comp33_33,
plate_4,A22,comp135,135,comp135_135,
plate_4,A23,DMSO,0,DMSO_0,
plate_4,A24,comp163,163,comp163_163,
plate_4,B01,comp206,206,comp206_206,
plate_4,B02,comp121,121,comp121_121,
plate_4,B03,comp301,301,comp301_301,
plate_4,B04,comp174,174,comp174_174,
plate_4,B05,comp36,36,comp36_36,
plate_4,B06,comp319,319,comp319_319,
plate_4,B07,ctrl2,1,ctrl2_1,
plate_4,B08,comp60,60,comp60_60,
plate_4,B09,comp107,107,comp107_107,
plate_4,B10,ctrl4,1,ctrl4_1,
plate_4,B11,comp254,254,comp254_254,
plate_4,B12,comp240,240,comp240_240,
plate_4,B13,comp54,54,comp54_54,
plate_4,B14,comp106,106,comp106_106,
plate_4,B15,comp265,265,comp265_265,
plate_4,B16,comp104,104,comp104_104,
plate_4,B17,comp127,127,comp127_127,
plate_4,B18,DMSO,0,DMSO_0,
plate_4,B19,comp291,291,comp291_291,
plate_4,B20,comp296,296,comp296_296,
plate_4,B21,DMSO,0,DMSO_0,
plate_4,B22,comp79,79,comp79_79,
plate_4,B23,comp218,218,comp218_218,
plate_4,B24,comp313,313,comp313_313,
plate_4,C01,DMSO,0,DMSO_0,
plate_4,C02,comp225,225,comp225_225,
plate_4,C03,comp3,3,comp3_3,
plate_4,C04,comp8,8,comp8_8,
plate_4,C05,comp202,202,comp202_202,
plate_4,C06,comp2,2,comp2_2,
plate_4,C07,comp73,73,comp73_73,
plate_4,C08,comp314,314,comp314_314,
plate_4,C09,comp126,126,comp126_126,
plate_4,C10,comp85,85,comp85_85,
plate_4,C11,DMSO,0,DMSO_0,
plate_4,C12,comp180,180,comp180_180,
plate_4,C13,comp245,245,comp245_245,
plate_4,C14,comp95,95,comp95_95,
plate_4,C15,comp153,153,comp153_153,
plate_4,C16,comp190,190,comp190_190,
plate_4,C17,ctrl5,1,ctrl5_1,
plate_4,C18,comp228,228,comp228_228,
plate_4,C19,comp232,232,comp232_232,
plate_4,C20,ctrl4,1,ctrl4_1,
plate_4,C21,comp139,139,comp139_139,
plate_4,C22,comp164,164,comp164_164,
plate_4,C23,comp273,273,comp273_273,
plate_4,C24,comp6,6,comp6_6,
plate_4,D01,comp9,9,comp9_9,
plate_4,D02,ctrl4,1,ctrl4_1,
plate_4,D03,comp92,92,comp92_92,
plate_4,D04,comp65,65,comp65_65,
plate_4,D05,comp259,259,comp259_259,
plate_4,D06,comp130,130,comp130_130,
plate_4,D07,ctrl5,1,ctrl5_1,
plate_4,D08,comp71,71,comp71_71,
plate_4,D09,comp46,46,comp46_46,
plate_4,D10,comp74,74,comp74_74,
plate_4,D11,comp142,142,comp142_142,
plate_4,D12,comp239,239,comp239_239,
plate_4,D13,comp294,294,comp294_294,
plate_4,D14,comp219,219,comp219_219,
plate_4,D15,comp309,309,comp309_309,
plate_4,D16,comp48,48,comp48_48,
plate_4,D17,comp318,318,comp318_318,
plate_4,D18,comp80,80,comp80_80,
plate_4,D19,DMSO,0,DMSO_0,
plate_4,D20,comp41,41,comp41_41,
plate_4,D21,comp140,140,comp140_140,
plate_4,D22,DMSO,0,DMSO_0,
plate_4,D23,comp176,176,comp176_176,
plate_4,D24,comp214,214,comp214_214,
plate_4,E01,comp144,144,comp144_144,
plate_4,E02,comp168,168,comp168_168,
plate_4,E03,comp177,177,comp177_177,
plate_4,E04,DMSO,0,DMSO_0,
plate_4,E05,comp66,66,comp66_66,
plate_4,E06,DMSO,0,DMSO_0,
plate_4,E07,comp45,45,comp45_45,
plate_4,E08,comp235,235,comp235_235,
plate_4,E09,comp216,216,comp216_216,
plate_4,E10,comp249,249,comp249_249,
plate_4,E11,comp18,18,comp18_18,
plate_4,E12,comp155,155,comp155_155,
plate_4,E13,comp115,115,comp115_115,
plate_4,E14,comp171,171,comp171_171,
plate_4,E15,comp151,151,comp151_151,
plate_4,E16,ctrl8,1,ctrl8_1,
plate_4,E17,comp268,268,comp268_268,
plate_4,E18,comp278,278,comp278_278,
plate_4,E19,comp173,173,comp173_173,
plate_4,E20,comp89,89,comp89_89,
plate_4,E21,ctrl6,1,ctrl6_1,
plate_4,E22,comp270,270,comp270_270,
plate_4,E23,comp284,284,comp284_284,
plate_4,E24,comp64,64,comp64_64,
plate_4,F01,comp129,129,comp129_129,
plate_4,F02,comp37,37,comp37_37,
plate_4,F03,comp279,279,comp279_279,
plate_4,F04,comp234,234,comp234_234,
plate_4,F05,comp63,63,comp63_63,
plate_4,F06,comp246,246,comp246_246,
plate_4,F07,comp26,26,comp26_26,
plate_4,F08,ctrl5,1,ctrl5_1,
plate_4,F09,comp220,220,comp220_220,
plate_4,F10,comp286,286,comp286_286,
plate_4,F11,comp305,305,comp305_305,
plate_4,F12,DMSO,0,DMSO_0,
plate_4,F13,comp289,289,comp289_289,
plate_4,F14,comp229,229,comp229_229,
plate_4,F15,comp114,114,comp114_114,
plate_4,F16,comp236,236,comp236_236,
plate_4,F17,comp211,211,comp211_211,
plate_4,F18,ctrl1,1,ctrl1_1,
plate_4,F19,comp28,28,comp28_28,
plate_4,F20,comp147,147,comp147_147,
plate_4,F21,comp165,165,comp165_165,
plate_4,F22,DMSO,0,DMSO_0,
plate_4,F23,comp215,215,comp215_215,
plate_4,F24,comp317,317,comp317_317,
plate_4,G01,comp312,312,comp312_312,
plate_4,G02,comp274,274,comp274_274,
plate_4,G03,comp195,195,comp195_195,
plate_4,G04,comp251,251,comp251_251,
plate_4,G05,comp68,68,comp68_68,
plate_4,G06,ctrl8,1,ctrl8_1,
plate_4,G07,comp304,304,comp304_304,
plate_4,G08,comp287,287,comp287_287,
plate_4,G09,DMSO,0,DMSO_0,
plate_4,G10,comp282,282,comp282_282,
plate_4,G11,comp90,90,comp90_90,
plate_4,G12,comp100,100,comp100_100,
plate_4,G13,ctrl1,1,ctrl1_1,
plate_4,G14,comp269,269,comp269_269,
plate_4,G15,DMSO,0,DMSO_0,
plate_4,G16,comp257,257,comp257_257,
plate_4,G17,comp222,222,comp222_222,
plate_4,G18,comp200,200,comp200_200,
plate_4,G19,comp161,161,comp161_161,
plate_4,G20,comp86,86,comp86_86,
plate_4,G21,comp181,181,comp181_181,
plate_4,G22,comp307,307,comp307_307,
plate_4,G23,comp20,20,comp20_20,
plate_4,G24,comp38,38,comp38_38,
plate_4,H01,comp201,201,comp201_201,
plate_4,H02,comp178,178,comp178_178,
plate_4,H03,DMSO,0,DMSO_0,
plate_4,H04,comp143,143,comp143_143,
plate_4,H05,DMSO,0,DMSO_0,
plate_4,H06,comp67,67,comp67_67,
plate_4,H07,comp88,88,comp88_88,
plate_4,H08,comp197,197,comp197_197,
plate_4,H09,comp12,12,comp12_12,
plate_4,H10,comp210,210,comp210_210,
plate_4,H11,comp179,179,comp179_179,
