Source Well,Dest Well,Volume,Compound
A01,A02,150,JUMP1_rep1
A02,A14,150,DMSO
A03,N03,150,Cpd1
A04,B22,150,Cpd2
A05,G02,150,Cpd3
A06,G13,150,Cpd4
A07,A21,150,Cpd5
A08,O21,150,Cpd6
A09,E01,150,Cpd7
A10,F16,150,Cpd8
A11,O14,150,Cpd9
A12,C22,150,Cpd10
A13,L14,150,Cpd11
A14,J02,150,Cpd12
A15,J05,150,Cpd13
A16,E20,150,Cpd14
A17,B12,150,Cpd15
A18,O15,150,Cpd16
A19,M11,150,Cpd17
A20,J10,150,Cpd18
A21,B17,150,Cpd19
A22,N10,150,Cpd20
A23,G16,150,JUMP1_rep3
A24,A20,150,DMSO
B01,C11,150,JUMP1_rep2
B02,B05,150,DMSO
B03,J15,150,Cpd21
B04,O11,150,Cpd22
B05,P16,150,Cpd23
B06,O06,150,Cpd24
B07,I22,150,Cpd25
B08,L18,150,Cpd26
B09,F14,150,Cpd27
B10,N09,150,Cpd28
B11,F24,150,Cpd29
B12,D08,150,Cpd30
B13,B14,150,Cpd31
B14,O08,150,Cpd32
B15,I12,150,Cpd33
B16,L17,150,Cpd34
B17,J20,150,Cpd35
B18,A07,150,Cpd36
B19,K01,150,Cpd37
B20,H08,150,Cpd38
B21,I17,150,Cpd39
B22,F10,150,Cpd40
B23,I21,150,JUMP1_rep4
B24,B07,150,DMSO
C01,B19,150,JUMP2_rep1
C02,C16,150,DMSO
C03,O18,150,Cpd41
C04,C02,150,Cpd42
C05,I02,150,Cpd43
C06,H02,150,Cpd44
C07,P21,150,Cpd45
C08,O07,150,Cpd46
C09,P24,150,Cpd47
C10,E06,150,Cpd48
C11,B08,150,Cpd49
C12,E12,150,Cpd50
C13,H20,150,Cpd51
C14,H18,150,Cpd52
C15,P11,150,Cpd53
C16,M05,150,Cpd54
C17,P01,150,Cpd55
C18,K10,150,Cpd56
C19,A16,150,Cpd57
C20,A03,150,Cpd58
C21,G20,150,Cpd59
C22,E18,150,Cpd60
C23,D02,150,JUMP2_rep3
C24,C23,150,DMSO
D01,C03,150,JUMP2_rep2
D02,D09,150,DMSO
D03,J09,150,Cpd61
D04,B01,150,Cpd62
D05,D23,150,Cpd63
D06,M01,150,Cpd64
D07,J12,150,Cpd65
D08,H09,150,Cpd66
D09,F13,150,Cpd67
D10,O10,150,Cpd68
D11,F02,150,Cpd69
D12,C01,150,Cpd70
D13,J18,150,Cpd71
D14,B11,150,Cpd72
D15,M15,150,Cpd73
D16,K16,150,Cpd74
D17,O04,150,Cpd75
D18,F19,150,Cpd76
D19,O03,150,Cpd77
D20,E09,150,Cpd78
D21,G05,150,Cpd79
D22,I05,150,Cpd80
D23,E08,150,JUMP2_rep4
D24,D14,150,DMSO
E01,J07,150,JUMP3_rep1
E02,E21,150,DMSO
E03,E14,150,Cpd81
E04,A18,150,Cpd82
E05,M04,150,Cpd83
E06,P08,150,Cpd84
E07,E19,150,Cpd85
E08,L03,150,Cpd86
E09,I20,150,Cpd87
E10,C09,150,Cpd88
E11,O22,150,Cpd89
E12,I19,150,Cpd90
E13,H05,150,Cpd91
E14,H19,150,Cpd92
E15,K17,150,Cpd93
E16,E11,150,Cpd94
E17,G09,150,Cpd95
E18,M07,150,Cpd96
E19,I11,150,Cpd97
E20,C04,150,Cpd98
E21,M08,150,Cpd99
E22,O09,150,Cpd100
E23,O05,150,JUMP3_rep3
E24,E24,150,DMSO
F01,N04,150,JUMP3_rep2
F02,F04,150,DMSO
F03,A05,150,Cpd101
F04,B02,150,Cpd102
F05,N23,150,Cpd103
F06,E02,150,Cpd104
F07,P13,150,Cpd105
F08,N12,150,Cpd106
F09,D21,150,Cpd107
F10,F11,150,Cpd108
F11,G22,150,Cpd109
F12,B21,150,Cpd110
F13,E13,150,Cpd111
F14,K06,150,Cpd112
F15,I16,150,Cpd113
F16,H10,150,Cpd114
F17,M03,150,Cpd115
F18,D06,150,Cpd116
F19,L01,150,Cpd117
F20,K02,150,Cpd118
F21,J17,150,Cpd119
F22,P02,150,Cpd120
F23,O19,150,JUMP3_rep4
F24,F18,150,DMSO
G01,A12,150,JUMP4_rep1
G02,G06,150,DMSO
G03,N06,150,Cpd121
G04,C17,150,Cpd122
G05,P09,150,Cpd123
G06,M17,150,Cpd124
G07,O16,150,Cpd125
G08,E07,150,Cpd126
G09,I04,150,Cpd127
G10,K14,150,Cpd128
G11,D10,150,Cpd129
G12,H04,150,Cpd130
G13,J21,150,Cpd131
G14,A22,150,Cpd132
G15,O24,150,Cpd133
G16,M22,150,Cpd134
G17,L05,150,Cpd135
G18,G03,150,Cpd136
G19,H17,150,Cpd137
G20,A06,150,Cpd138
G21,A23,150,Cpd139
G22,P03,150,Cpd140
G23,M16,150,JUMP4_rep3
G24,G08,150,DMSO
H01,I14,150,JUMP4_rep2
H02,H01,150,DMSO
H03,D04,150,Cpd141
H04,L20,150,Cpd142
H05,P14,150,Cpd143
H06,B24,150,Cpd144
H07,I10,150,Cpd145
H08,F20,150,Cpd146
H09,O23,150,Cpd147
H10,J16,150,Cpd148
H11,J01,150,Cpd149
H12,F08,150,Cpd150
H13,C18,150,Cpd151
H14,A15,150,Cpd152
H15,D16,150,Cpd153
H16,M19,150,Cpd154
H17,F06,150,Cpd155
H18,N18,150,Cpd156
H19,M09,150,Cpd157
H20,E23,150,Cpd158
H21,H03,150,Cpd159
H22,L07,150,Cpd160
H23,N01,150,JUMP4_rep4
H24,H12,150,DMSO
I01,E10,150,JUMP5_rep1
I02,I03,150,DMSO
I03,L02,150,Cpd161
I04,F05,150,Cpd162
I05,D19,150,Cpd163
I06,M02,150,Cpd164
I07,B15,150,Cpd165
I08,C21,150,Cpd166
I09,F22,150,Cpd167
I10,B23,150,Cpd168
I11,N17,150,Cpd169
I12,J23,150,Cpd170
I13,P22,150,Cpd171
I14,M10,150,Cpd172
I15,F21,150,Cpd173
I16,D22,150,Cpd174
I17,K13,150,Cpd175
I18,G15,150,Cpd176
I19,M23,150,Cpd177
I20,B16,150,Cpd178
I21,I08,150,Cpd179
I22,G21,150,Cpd180
I23,J13,150,JUMP5_rep3
I24,I09,150,DMSO
J01,F15,150,JUMP5_rep2
J02,J11,150,DMSO
J03,N24,150,Cpd181
J04,O12,150,Cpd182
J05,D05,150,Cpd183
J06,N13,150,Cpd184
J07,E22,150,Cpd185
J08,C06,150,Cpd186
J09,B20,150,Cpd187
J10,E03,150,Cpd188
J11,A10,150,Cpd189
J12,D11,150,Cpd190
J13,H07,150,Cpd191
J14,A13,150,Cpd192
J15,M18,150,Cpd193
J16,O13,150,Cpd194
J17,N07,150,Cpd195
J18,P12,150,Cpd196
J19,F17,150,Cpd197
J20,A17,150,Cpd198
J21,C12,150,Cpd199
J22,I06,150,Cpd200
J23,K18,150,JUMP5_rep4
J24,J19,150,DMSO
K01,F01,150,JUMP6_rep1
K02,K03,150,DMSO
K03,G14,150,Cpd201
K04,A11,150,Cpd202
K05,B06,150,Cpd203
K06,C14,150,Cpd204
K07,C15,150,Cpd205
K08,H13,150,Cpd206
K09,B10,150,Cpd207
K10,O01,150,Cpd208
K11,B18,150,Cpd209
K12,D07,150,Cpd210
K13,B09,150,Cpd211
K14,J14,150,Cpd212
K15,K05,150,Cpd213
K16,G18,150,Cpd214
K17,K07,150,Cpd215
K18,H15,150,Cpd216
K19,C08,150,Cpd217
K20,G04,150,Cpd218
K21,H06,150,Cpd219
K22,N16,150,Cpd220
K23,K09,150,JUMP6_rep3
K24,K15,150,DMSO
L01,G23,150,JUMP6_rep2
L02,L10,150,DMSO
L03,P07,150,Cpd221
L04,N14,150,Cpd222
L05,E17,150,Cpd223
L06,F03,150,Cpd224
L07,P18,150,Cpd225
L08,N02,150,Cpd226
L09,N08,150,Cpd227
L10,I07,150,Cpd228
L11,D03,150,Cpd229
L12,L15,150,Cpd230
L13,D12,150,Cpd231
L14,M20,150,Cpd232
L15,F07,150,Cpd233
L16,L16,150,Cpd234
L17,G10,150,Cpd235
L18,I01,150,Cpd236
L19,C05,150,Cpd237
L20,D01,150,Cpd238
L21,N11,150,Cpd239
L22,L21,150,Cpd240
L23,L23,150,JUMP6_rep4
L24,L13,150,DMSO
M01,D17,150,JUMP7_rep1
M02,M06,150,DMSO
M03,F12,150,Cpd241
M04,L24,150,Cpd242
M05,E15,150,Cpd243
M06,H11,150,Cpd244
M07,I24,150,Cpd245
M08,I13,150,Cpd246
M09,D15,150,Cpd247
M10,N21,150,Cpd248
M11,M14,150,Cpd249
M12,J04,150,Cpd250
M13,L12,150,Cpd251
M14,B03,150,Cpd252
M15,C13,150,Cpd253
M16,G17,150,Cpd254
M17,F09,150,Cpd255
M18,G11,150,Cpd256
M19,J08,150,Cpd257
M20,J24,150,Cpd258
M21,L09,150,Cpd259
M22,L19,150,Cpd260
M23,P06,150,JUMP7_rep3
M24,M24,150,DMSO
N01,L08,150,JUMP7_rep2
N02,N20,150,DMSO
N03,P05,150,Cpd261
N04,L11,150,Cpd262
N05,E05,150,Cpd263
N06,D18,150,Cpd264
N07,F23,150,Cpd265
N08,M13,150,Cpd266
N09,E04,150,Cpd267
N10,G01,150,Cpd268
N11,E16,150,Cpd269
N12,I23,150,Cpd270
N13,A24,150,Cpd271
N14,G24,150,Cpd272
N15,J06,150,Cpd273
N16,C10,150,Cpd274
N17,A01,150,Cpd275
N18,P19,150,Cpd276
N19,C07,150,Cpd277
N20,H16,150,Cpd278
N21,N05,150,Cpd279
N22,H23,150,Cpd280
N23,P20,150,JUMP7_rep4
N24,N22,150,DMSO
O01,B13,150,JUMP8_rep1
O02,O02,150,DMSO
O03,P10,150,Cpd281
O04,C20,150,Cpd282
O05,K08,150,Cpd283
O06,D13,150,Cpd284
O07,A19,150,Cpd285
O08,L06,150,Cpd286
O09,P17,150,Cpd287
O10,N19,150,Cpd288
O11,A09,150,Cpd289
O12,P23,150,Cpd290
O13,D20,150,Cpd291
O14,I15,150,Cpd292
O15,K24,150,Cpd293
O16,G19,150,Cpd294
O17,B04,150,Cpd295
O18,G07,150,Cpd296
O19,C19,150,Cpd297
O20,K22,150,Cpd298
O21,C24,150,Cpd299
O22,L04,150,Cpd300
O23,H24,150,JUMP8_rep3
O24,O17,150,DMSO
P01,H22,150,JUMP8_rep2
P02,P04,150,DMSO
P03,K20,150,Cpd301
P04,G12,150,Cpd302
P05,K21,150,Cpd303
P06,K11,150,Cpd304
P07,A04,150,Cpd305
P08,H21,150,Cpd306
P09,I18,150,Cpd307
P10,K04,150,Cpd308
P11,L22,150,Cpd309
P12,K23,150,Cpd310
P13,D24,150,Cpd311
P14,N15,150,Cpd312
P15,K19,150,Cpd313
P16,J03,150,Cpd314
P17,H14,150,Cpd315
P18,J22,150,Cpd316
P19,O20,150,Cpd317
P20,A08,150,Cpd318
P21,K12,150,Cpd319
P22,M21,150,Cpd320
P23,M12,150,JUMP8_rep4
P24,P15,150,DMSO
